"Date","Prefecture","Guests_Total","Guests_Prefecture","Guests_OutsidePrefecture","Type_Ryokan","Type_Resort","Type_Business","Type_City","Type_Simple","Type_CompaniesGroups","Pref_Ryokan","Out_Ryokan","Pref_Resort","Out_Resort","Pref_Business","Out_Business","Pref_City","Out_City","Pref_Simple","Out_Simple","Pref_CompaniesGroups","Out_CompaniesGroups","Occupancy_Rate","Occupancy_Tourists","Occupancy_NonTourists","Occupancy_0to9","Occupancy_Tourists_0to9","Occupancy_NonTourists_0to9","Occupancy_10to19","Occupancy_Tourists_10to19","Occupancy_NonTourists_10to19","Occupancy_30to99","Occupancy_Tourists_30to99","Occupancy_NonTourists_30to99","Occupancy_over100","Occupancy_Tourists_over100","Occupancy_NonTourists_over100","Occupancy_Ryokan","Occupancy_Resort","Occupancy_Business","Occupancy_City","Occupancy_Simple","Occupancy_CompaniesGroups"
2020-01-01,"Aichi",1705980,347140,1186390,104930,67790,1204800,280550,37060,10850,50560,48500,24150,14340,205360,890900,44000,208870,16780,19210,6290,4550,45.7,32.3,55.2,29.1,23.2,40.8,50.9,34.8,56.1,49.9,39.8,57.3,45.6,33.4,60.8,17.2,31.1,57.2,59.5,12.9,28
2020-01-01,"Akita",277700,88880,181150,61610,11370,170010,23310,10350,1040,19680,41100,4350,7020,50800,112370,6270,17040,6890,3460,890,160,24.2,13.4,35,20.4,4.6,29.6,25.8,16.4,34.7,26.6,16.1,46.8,32.8,20.7,51.3,12.8,18.1,42.7,45.6,7.4,7.6
2020-01-01,"Aomori",333500,95850,228930,80610,21590,203910,20420,6970,0,26420,54190,2280,19310,55650,139550,7580,12840,3930,3040,0,0,29.1,22.7,34,18.6,4.7,24.8,35.4,21.8,42.9,31.9,25.3,38.1,42.3,44.7,31.3,18.3,36.7,41.9,30.7,8.1,0
2020-01-01,"Chiba",2223690,278500,1789900,115630,1144100,585990,291520,72020,14430,36330,78150,68970,967870,107410,445380,44370,241150,17560,50790,3860,6570,41.7,40.3,46.3,15.1,13,24.1,38.8,30.7,47,45.8,45.2,47,56.8,56.5,57.9,18.3,55.8,46.9,55.8,9.2,15.9
2020-01-01,"Ehime",328380,51970,238910,72930,6620,180850,40380,25250,2340,7330,64360,1150,4140,31400,118340,6380,34000,4220,17220,1480,860,33.7,21.2,45.9,16.7,10.8,25.6,43.8,18.3,51.8,44.2,30.7,60.4,40.7,32.4,48.7,28.7,32.9,52.4,47.9,10.2,9.8
2020-01-01,"Fukui",251680,47420,194280,106440,17410,107630,13500,6700,NA,31230,74510,1270,16140,12000,87450,1410,11230,1510,4950,NA,NA,21,15.4,33.4,7.3,4.8,15.4,28.8,12.5,43.8,35.1,27.8,44.5,33.9,33.7,36.1,17.6,24.9,44.1,28.6,2.9,NA
2020-01-01,"Fukuoka",1725970,317180,1343700,56610,50330,1200220,292650,109070,17090,28540,26100,18660,22030,207440,945850,36390,256260,19430,85520,6710,7950,46.8,32.9,59.4,29.5,23.1,50.8,52.9,32,60.2,55.7,49,61.2,50.3,38.6,60.6,19.1,27.6,61,58.5,17.7,14.4
2020-01-01,"Fukushima",1018740,251420,686270,313910,168770,455980,14340,56160,9570,101580,194950,14690,121140,106510,324120,2650,9760,22780,29950,3220,6360,29.5,20.2,44.5,20.4,7.4,40.7,33.4,16.1,44.6,37.1,28.5,55.3,42.5,42.7,38.6,21.4,36.3,52.7,34.2,10.1,15.3
2020-01-01,"Gifu",617850,73760,485190,198720,109690,207270,33330,51130,17710,29020,165670,12990,96700,24160,140290,4090,29240,2320,48810,1170,4480,33.2,28.8,51.7,16.8,15.1,30.5,44.3,36.2,58.2,41.4,35.4,60.9,46,45.6,55,24.4,38.1,63.1,63.1,16.1,31.7
2020-01-01,"Gunma",662520,124570,520330,318420,103080,186780,20080,19910,14250,55610,254670,7660,92770,43280,140230,3460,16620,3370,13470,11200,2570,30.2,26.9,43.3,14.5,14.5,16.5,38.1,26.8,60.1,40.3,37.8,46,36.7,36.7,NA,26.1,35.3,55,38.4,8,31.9
