"Prefecture","Date","NewlyConfirmedCases","Guests_Total","Guests_Prefecture","Guests_OutsidePrefecture","Month"
"Aichi",2020-07-01,36.685862551981,802740,274460,473120,7
"Aichi",2020-08-01,11.0044329303015,851820,369790,413960,8
"Aichi",2020-09-01,11.455216929856,939150,341500,538880,9
"Aichi",2020-10-01,50.7794917145238,1087590,373750,646200,10
"Aichi",2020-11-01,85.4766013272937,1142450,362450,702570,11
"Aichi",2020-12-01,99.1061881373539,1006970,373550,545510,12
"Akita",2020-07-01,3.23084266629981,220200,85280,131730,7
"Akita",2020-08-01,0.416882924683846,227630,90980,132170,8
"Akita",2020-09-01,1.04220731170962,255090,90550,159560,9
"Akita",2020-10-01,2.81395974161596,335910,109240,220810,10
"Akita",2020-11-01,5.21103655854808,292640,118200,169400,11
"Akita",2020-12-01,12.6107084716864,228030,109670,114920,12
"Aomori",2020-07-01,0.242329464678057,279080,99750,175190,7
"Aomori",2020-08-01,0.0807764882260191,320320,109510,199010,8
"Aomori",2020-09-01,15.4283092511696,339500,113680,221200,9
"Aomori",2020-10-01,5.4928011993693,410560,107930,293520,10
"Aomori",2020-11-01,15.1052032982656,357290,106940,237040,11
"Aomori",2020-12-01,18.9824747331145,282870,108980,161440,12
"Chiba",2020-07-01,22.2134528234635,870870,236840,592950,7
"Chiba",2020-08-01,13.4458220887011,1292000,373950,842230,8
"Chiba",2020-09-01,18.1399256581292,1185300,332200,795630,9
"Chiba",2020-10-01,31.3948011609552,1388970,327330,992110,10
"Chiba",2020-11-01,64.9059269820256,1603190,355790,1148880,11
"Chiba",2020-12-01,178.964687611386,1548610,359800,1118160,12
"Ehime",2020-07-01,1.87288223840892,232500,70940,139940,7
"Ehime",2020-08-01,0,268030,85340,160450,8
"Ehime",2020-09-01,0.149830579072714,269050,70610,175010,9
"Ehime",2020-10-01,14.8332273281986,336290,83670,213520,10
"Ehime",2020-11-01,11.2372934304535,367090,79010,262620,11
"Ehime",2020-12-01,39.6301881647327,276250,70580,181670,12
"Fukui",2020-07-01,11.6057235777447,223130,73420,136070,7
"Fukui",2020-08-01,2.08642221622376,266850,54370,198520,8
"Fukui",2020-09-01,1.6952180506818,211140,36580,159650,9
"Fukui",2020-10-01,7.69368192232511,258080,45620,196850,10
"Fukui",2020-11-01,5.08565415204541,315090,58980,240940,11
"Fukui",2020-12-01,4.17284443244752,237770,50920,175160,12
"Fukuoka",2020-07-01,52.0134117098138,693350,251230,431930,7
"Fukuoka",2020-08-01,8.64618300230526,688850,286580,392470,8
"Fukuoka",2020-09-01,3.64152302124118,808960,301950,493290,9
"Fukuoka",2020-10-01,11.7035044693366,1033800,278520,617880,10
"Fukuoka",2020-11-01,61.1074825703466,1202640,359110,819580,11
"Fukuoka",2020-12-01,140.539420557741,1025750,359680,650410,12
"Fukushima",2020-07-01,3.92766120867228,745850,251300,462310,7
"Fukushima",2020-08-01,5.01867821108124,845470,255350,557150,8
"Fukushima",2020-09-01,7.36436476626052,859270,281370,556900,9
"Fukushima",2020-10-01,6.16424606361066,990420,269030,683350,10
"Fukushima",2020-11-01,24.1660266033586,993380,269160,685970,11
"Fukushima",2020-12-01,42.713315644311,799600,248840,520040,12
"Gifu",2020-07-01,11.3203237208287,310360,82190,208260,7
"Gifu",2020-08-01,3.58813832222695,407540,105860,295050,8
"Gifu",2020-09-01,3.03222956807911,405410,97570,300520,9
"Gifu",2020-10-01,19.5073435546423,494410,122370,354770,10
"Gifu",2020-11-01,61.655334550942,501650,94270,390150,11
"Gifu",2020-12-01,92.381927507477,374930,78630,284220,12
"Gunma",2020-07-01,12.8925125444147,510850,260590,234360,7
"Gunma",2020-08-01,13.459783096369,559790,119650,430520,8
"Gunma",2020-09-01,10.2624399853541,485410,111250,365260,9
"Gunma",2020-10-01,15.8320054045413,607470,118470,482850,10
"Gunma",2020-11-01,57.139615596846,655290,123090,522510,11
"Gunma",2020-12-01,80.0367178757265,515150,110190,398980,12
"Hiroshima",2020-07-01,4.60763324096636,535430,190120,308910,7
"Hiroshima",2020-08-01,4.25045236957362,605210,244110,326450,8
"Hiroshima",2020-09-01,3.0360374068383,696140,242450,409820,9
"Hiroshima",2020-10-01,6.92930890501918,733520,251530,472500,10
"Hiroshima",2020-11-01,87.9736486240321,786820,250000,533620,11
"Hiroshima",2020-12-01,53.4699764474933,560990,200580,353700,12
"Hokkaido",2020-07-01,6.75648000024499,1737680,1064970,581420,7
"Hokkaido",2020-08-01,6.23969541099113,2327030,1350190,866440,8
"Hokkaido",2020-09-01,19.695234901564,2372470,1316310,949340,9
"Hokkaido",2020-10-01,109.692314111626,2567290,1412070,1054430,10
"Hokkaido",2020-11-01,87.5279972836271,1800370,1010540,722370,11
"Hokkaido",2020-12-01,76.6946610792682,1247290,758300,433470,12
"Hyogo",2020-07-01,19.3412555018278,654850,210440,399400,7
"Hyogo",2020-08-01,8.10612695109718,925800,330650,534030,8
"Hyogo",2020-09-01,9.73467164330406,823570,256690,519050,9
"Hyogo",2020-10-01,43.4034607855587,924800,270380,610530,10
"Hyogo",2020-11-01,80.2195497824155,1036390,296620,705280,11
"Hyogo",2020-12-01,118.334814882044,896980,283830,575320,12
"Ibaraki",2020-07-01,8.75476847125349,321830,81670,200610,7
"Ibaraki",2020-08-01,3.90651023418482,375250,109210,231420,8
"Ibaraki",2020-09-01,3.87163067852246,349020,87380,232670,9
"Ibaraki",2020-10-01,27.6594876402551,414190,91410,292450,10
"Ibaraki",2020-11-01,30.8684067611926,462580,103530,314460,11
"Ibaraki",2020-12-01,82.769185586791,414510,102450,277440,12
"Ishikawa",2020-07-01,26.9309490466444,392370,118730,259740,7
"Ishikawa",2020-08-01,13.2447290393333,445230,112710,319370,8
"Ishikawa",2020-09-01,3.00213858224888,467380,77060,374850,9
"Ishikawa",2020-10-01,3.79682232460888,541510,89840,430640,10
"Ishikawa",2020-11-01,19.2490062038311,717430,109030,597000,11
"Ishikawa",2020-12-01,34.5245936958622,530840,107620,403130,12
"Iwate",2020-07-01,1.32173074031791,355780,151270,201250,7
"Iwate",2020-08-01,0.330432685079477,369880,141390,226290,8
"Iwate",2020-09-01,0.330432685079477,446990,191770,254790,9
"Iwate",2020-10-01,13.7955646020682,520290,174630,345010,10
"Iwate",2020-11-01,15.778160712545,467560,160100,306780,11
"Iwate",2020-12-01,9.1695070109555,360700,140720,219530,12
"Kagawa",2020-07-01,3.3675561224275,213610,52760,154490,7
"Kagawa",2020-08-01,1.68377806121375,243700,51970,182210,8
"Kagawa",2020-09-01,0.841889030606876,233140,38370,181610,9
"Kagawa",2020-10-01,4.84086192598954,277030,45260,212480,10
"Kagawa",2020-11-01,16.4168360968341,313820,56250,245800,11
"Kagawa",2020-12-01,35.6750476719664,225760,47790,169130,12
"Kagoshima",2020-07-01,6.92583563355026,334900,107190,207080,7
"Kagoshima",2020-08-01,3.46291781677513,408140,149590,240840,8
"Kagoshima",2020-09-01,3.33699353252876,428950,168070,243780,9
"Kagoshima",2020-10-01,10.0109805975863,575330,176750,347420,10
"Kagoshima",2020-11-01,24.3663490016723,643770,191330,445000,11
