"Prefecture","Date","NewlyConfirmedCases","Guests_Prefecture","Guests_OutsidePrefecture","Guests_Remaining","Month"
"Aichi",2020-07-01,36.685862551981,274460,473120,55160,"July"
"Aichi",2020-08-01,11.0044329303015,369790,413960,68070,"August"
"Aichi",2020-09-01,11.455216929856,341500,538880,58770,"September"
"Aichi",2020-10-01,50.7794917145238,373750,646200,67640,"October"
"Aichi",2020-11-01,85.4766013272937,362450,702570,77430,"November"
"Aichi",2020-12-01,99.1061881373539,373550,545510,87910,"December"
"Akita",2020-07-01,3.23084266629981,85280,131730,3190,"July"
"Akita",2020-08-01,0.416882924683846,90980,132170,4480,"August"
"Akita",2020-09-01,1.04220731170962,90550,159560,4980,"September"
"Akita",2020-10-01,2.81395974161596,109240,220810,5860,"October"
"Akita",2020-11-01,5.21103655854808,118200,169400,5040,"November"
"Akita",2020-12-01,12.6107084716864,109670,114920,3440,"December"
"Aomori",2020-07-01,0.242329464678057,99750,175190,4140,"July"
"Aomori",2020-08-01,0.0807764882260191,109510,199010,11800,"August"
"Aomori",2020-09-01,15.4283092511696,113680,221200,4620,"September"
"Aomori",2020-10-01,5.4928011993693,107930,293520,9110,"October"
"Aomori",2020-11-01,15.1052032982656,106940,237040,13310,"November"
"Aomori",2020-12-01,18.9824747331145,108980,161440,12450,"December"
"Chiba",2020-07-01,22.2134528234635,236840,592950,41080,"July"
"Chiba",2020-08-01,13.4458220887011,373950,842230,75820,"August"
"Chiba",2020-09-01,18.1399256581292,332200,795630,57470,"September"
"Chiba",2020-10-01,31.3948011609552,327330,992110,69530,"October"
"Chiba",2020-11-01,64.9059269820256,355790,1148880,98520,"November"
"Chiba",2020-12-01,178.964687611386,359800,1118160,70650,"December"
"Ehime",2020-07-01,1.87288223840892,70940,139940,21620,"July"
"Ehime",2020-08-01,0,85340,160450,22240,"August"
"Ehime",2020-09-01,0.149830579072714,70610,175010,23430,"September"
"Ehime",2020-10-01,14.8332273281986,83670,213520,39100,"October"
"Ehime",2020-11-01,11.2372934304535,79010,262620,25460,"November"
"Ehime",2020-12-01,39.6301881647327,70580,181670,24000,"December"
"Fukui",2020-07-01,11.6057235777447,73420,136070,13640,"July"
"Fukui",2020-08-01,2.08642221622376,54370,198520,13960,"August"
"Fukui",2020-09-01,1.6952180506818,36580,159650,14910,"September"
"Fukui",2020-10-01,7.69368192232511,45620,196850,15610,"October"
"Fukui",2020-11-01,5.08565415204541,58980,240940,15170,"November"
"Fukui",2020-12-01,4.17284443244752,50920,175160,11690,"December"
"Fukuoka",2020-07-01,52.0134117098138,251230,431930,10190,"July"
"Fukuoka",2020-08-01,8.64618300230526,286580,392470,9800,"August"
"Fukuoka",2020-09-01,3.64152302124118,301950,493290,13720,"September"
"Fukuoka",2020-10-01,11.7035044693366,278520,617880,137400,"October"
"Fukuoka",2020-11-01,61.1074825703466,359110,819580,23950,"November"
"Fukuoka",2020-12-01,140.539420557741,359680,650410,15660,"December"
"Fukushima",2020-07-01,3.92766120867228,251300,462310,32240,"July"
"Fukushima",2020-08-01,5.01867821108124,255350,557150,32970,"August"
"Fukushima",2020-09-01,7.36436476626052,281370,556900,21000,"September"
"Fukushima",2020-10-01,6.16424606361066,269030,683350,38040,"October"
"Fukushima",2020-11-01,24.1660266033586,269160,685970,38250,"November"
"Fukushima",2020-12-01,42.713315644311,248840,520040,30720,"December"
"Gifu",2020-07-01,11.3203237208287,82190,208260,19910,"July"
"Gifu",2020-08-01,3.58813832222695,105860,295050,6630,"August"
"Gifu",2020-09-01,3.03222956807911,97570,300520,7320,"September"
"Gifu",2020-10-01,19.5073435546423,122370,354770,17270,"October"
"Gifu",2020-11-01,61.655334550942,94270,390150,17230,"November"
"Gifu",2020-12-01,92.381927507477,78630,284220,12080,"December"
"Gunma",2020-07-01,12.8925125444147,260590,234360,15900,"July"
"Gunma",2020-08-01,13.459783096369,119650,430520,9620,"August"
"Gunma",2020-09-01,10.2624399853541,111250,365260,8900,"September"
"Gunma",2020-10-01,15.8320054045413,118470,482850,6150,"October"
"Gunma",2020-11-01,57.139615596846,123090,522510,9690,"November"
"Gunma",2020-12-01,80.0367178757265,110190,398980,5980,"December"
"Hiroshima",2020-07-01,4.60763324096636,190120,308910,36400,"July"
"Hiroshima",2020-08-01,4.25045236957362,244110,326450,34650,"August"
"Hiroshima",2020-09-01,3.0360374068383,242450,409820,43870,"September"
"Hiroshima",2020-10-01,6.92930890501918,251530,472500,9490,"October"
"Hiroshima",2020-11-01,87.9736486240321,250000,533620,3200,"November"
"Hiroshima",2020-12-01,53.4699764474933,200580,353700,6710,"December"
"Hokkaido",2020-07-01,6.75648000024499,1064970,581420,91290,"July"
"Hokkaido",2020-08-01,6.23969541099113,1350190,866440,110400,"August"
"Hokkaido",2020-09-01,19.695234901564,1316310,949340,106820,"September"
"Hokkaido",2020-10-01,109.692314111626,1412070,1054430,100790,"October"
"Hokkaido",2020-11-01,87.5279972836271,1010540,722370,67460,"November"
"Hokkaido",2020-12-01,76.6946610792682,758300,433470,55520,"December"
"Hyogo",2020-07-01,19.3412555018278,210440,399400,45010,"July"
"Hyogo",2020-08-01,8.10612695109718,330650,534030,61120,"August"
"Hyogo",2020-09-01,9.73467164330406,256690,519050,47830,"September"
"Hyogo",2020-10-01,43.4034607855587,270380,610530,43890,"October"
"Hyogo",2020-11-01,80.2195497824155,296620,705280,34490,"November"
"Hyogo",2020-12-01,118.334814882044,283830,575320,37830,"December"
"Ibaraki",2020-07-01,8.75476847125349,81670,200610,39550,"July"
"Ibaraki",2020-08-01,3.90651023418482,109210,231420,34620,"August"
"Ibaraki",2020-09-01,3.87163067852246,87380,232670,28970,"September"
"Ibaraki",2020-10-01,27.6594876402551,91410,292450,30330,"October"
"Ibaraki",2020-11-01,30.8684067611926,103530,314460,44590,"November"
